Direction;StartTime;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;Duration;Angle;Session
BUY;17:30:00;1.08398;1.12717;432;0.0545;0.2807;-657.8947;0.4127;16830;1.54011;2
SELL;10:00:00;1.12717;1.10269;245;0.0584;0.2509;43.287;0.7002;10455;1.40603;1
SELL;16:45:00;1.09448;1.06917;253;0.0525;0.2299;-57.1429;0.2523;11520;1.31771;1
BUY;16:00:00;1.07358;1.1005;269;0.0642;0.3395;-244.8718;1.6866;8835;1.82683;1
BUY;11:30:00;1.06985;1.08848;186;0.0409;0.5073;-77.1429;0.6655;11445;0.9751;1
BUY;19:30:00;1.07972;1.0972;175;0.041;0.5809;-212.5;0.7509;11280;0.93085;2
SELL;03:30:00;1.09152;1.07223;193;0.0435;0.1603;-127.0588;0.6901;10935;1.05898;0
SELL;11:45:00;1.12057;1.09011;305;0.0505;0.2739;-435.0877;0.4417;14895;1.2286;1
SELL;17:15:00;1.08186;1.05014;317;0.0678;0.4828;-141.9847;1.0514;9825;1.93588;2
SELL;14:00:00;1.04573;1.02458;212;0.073;0.9704;-194.4444;1.0175;4590;2.77124;1
BUY;18:30:00;1.02458;1.04356;190;0.0698;1.045;10.3774;1.0962;5565;2.04852;2
SELL;11:30:00;1.04283;1.01868;241;0.0683;0.5262;-308.4746;0.4869;8625;1.67652;1
BUY;11:15:00;1.01868;1.03444;158;0.0755;0.5909;34.4398;0.4651;3150;3.00952;1
SELL;15:15:00;1.10799;1.08838;196;0.2223;0.7718;-88.4615;0.0818;3405;3.45374;1
BUY;17:30:00;1.08953;1.10734;178;0.1314;0.5489;-85.4167;0.2776;975;10.95385;2
BUY;21:00:00;1.093;1.1237;307;0.156;0.58;-104.6667;1.1614;1455;12.65979;2
SELL;22:30:00;1.13797;1.11998;180;0.0908;0.3281;-91.4894;0.6841;3270;3.30275;2
BUY;12:15:00;1.14563;1.17386;282;0.0717;0.6209;-235.7143;0.61;4275;3.95789;1
BUY;04:45:00;1.16174;1.17873;170;0.0568;0.4941;-254.1667;0.4657;5055;2.0178;0
