LineLength;AvgDiff;LastCandlesDiff;PrevLineLength;MaxDeviation;DurationHours;BarsCount
58;0.1013;0.0746;76.2295;0.172;5;21
71;0.0625;0.1077;-22.4138;0.3967;21.5;87
136;0.0553;0.0489;-91.5493;0.6245;107.5;239
61;0.0741;0.0861;55.1471;0.2218;11;45
76;0.0744;0.0927;-24.5902;0.2527;22.75;92
61;0.069;0.0941;19.7368;0.2484;24.75;100
100;0.0489;0.0714;-63.9344;0.4856;95.25;190
78;0.0661;0.0349;22;0.2092;13.25;54
104;0.0469;0.0266;-33.3333;0.4111;67.25;270
137;0.0466;0.0847;-31.7308;0.5165;136.25;354
187;0.048;0.0715;-36.4964;0.8694;147.25;398
90;0.0458;0.0523;51.8717;0.2641;32.25;130
74;0.053;0.0294;17.7778;0.1705;19.25;78
238;0.0527;0.0343;-221.6216;0.5668;238;569
142;0.0518;0.0985;40.3361;0.4469;29.25;118
151;0.2817;0.2795;-6.338;0.4718;2.5;11
123;0.1524;0.1254;18.543;0.4283;9.75;40
53;0.1616;0.1616;56.9106;0.1707;2.25;10
168;0.0789;0.0943;-216.9811;0.6895;22.5;91
61;0.1182;0.118;63.6905;0.2087;4.25;18
124;0.0782;0.1424;-103.2787;0.4484;93;181
137;0.0859;0.1034;-10.4839;0.4256;20.5;83
50;0.0692;0.0412;63.5036;0.0639;16.5;67
82;0.0703;0.0892;-64;0.2165;11.25;46
117;0.0468;0.0439;-42.6829;0.2155;114;265
51;0.0935;0.1212;56.4103;0.2234;5;21
74;0.042;0.0443;-45.098;0.2315;42.5;171
68;0.0488;0.0792;8.1081;0.1991;26.25;106
83;0.0433;0.068;-22.0588;0.3441;98;201
93;0.1068;0.1377;-12.0482;0.443;3.75;16
187;0.0483;0.0815;-101.0753;0.2289;167;477
74;0.071;0.0458;60.4278;0.0603;6.5;27
250;0.0561;0.0812;-237.8378;0.1926;85.25;342
93;0.0578;0.0832;62.8;0.4051;70.25;90
79;0.0878;0.0912;15.0538;0.2331;5.5;23
99;0.0537;0.0651;-25.3165;0.5105;52.25;210
99;0.0515;0.0243;0;0.244;35.5;143
54;0.0808;0.0969;45.4545;0.1724;9.5;39
102;0.0498;0.1008;-88.8889;0.5631;113;261
68;0.0768;0.0837;33.3333;0.2925;10.5;43
130;0.0597;0.0394;-91.1765;0.062;26.5;107
137;0.0583;0.1491;-5.3846;0.7454;84.5;147
119;0.0717;0.0819;13.1387;0.3136;26;105
100;0.0787;0.047;15.9664;0.0718;8;33
96;0.0497;0.0542;4;0.5042;133.5;282
55;0.0887;0.0887;42.7083;0.0606;2.25;10
114;0.0549;0.0416;-107.2727;0.178;62.25;250
98;0.0678;0.0547;14.0351;0.357;17.5;71
97;0.0623;0.0843;1.0204;0.4796;90.5;75
64;0.0734;0.0461;34.0206;0.0417;7;29
105;0.0606;0.07;-64.0625;0.392;38;153
75;0.1094;0.1427;28.5714;0.2753;4.75;20
68;0.0688;0.0404;9.3333;0.0499;8;33
121;0.0652;0.0831;-77.9412;0.3884;32;129
59;0.0957;0.1133;51.2397;0.2929;6.25;26
140;0.084;0.1006;-137.2881;0.4396;72.5;99
82;0.0572;0.0361;41.4286;0.4307;36.5;147
108;0.0618;0.0894;-31.7073;0.3894;34;137
54;0.0867;0.0847;50;0.1955;4.5;19
109;0.054;0.0567;-101.8519;0.1989;91;173
101;0.0414;0.0331;7.3394;0.1285;41.75;168
77;0.0711;0.0836;23.7624;0.2161;8.25;34
103;0.0542;0.0726;-33.7662;0.2228;48.25;194
72;0.0436;0.0504;30.0971;0.429;88.75;164
61;0.0675;0.068;15.2778;0.1104;7.75;32
110;0.0511;0.106;-80.3279;0.5401;23;93
92;0.0666;0.0928;16.3636;0.3741;47.5;191
200;0.0514;0.0376;-117.3913;0.5049;156.75;436
193;0.0441;0.0443;3.5;0.3105;154.25;426
60;0.0402;0.0523;68.9119;0.2116;24.75;100
80;0.0353;0.054;-33.3333;0.2953;93.25;182
140;0.053;0.0687;-75;0.2041;29;117
117;0.0409;0.0617;16.4286;0.3477;42.75;172
50;0.0447;0.0646;57.265;0.3089;69.75;88
83;0.0542;0.0369;-66;0.0706;17.25;70
62;0.0518;0.1045;25.3012;0.4428;37.25;150
127;0.0576;0.0938;-104.8387;0.2838;23.75;96
238;0.0689;0.0829;-87.4016;0.3061;114;265
107;0.0523;0.1007;55.042;0.2695;24.75;100
273;0.0619;0.0438;-155.1402;0.3852;136;353
152;0.0569;0.0337;44.3223;0.4069;67.25;270
77;0.0434;0.083;49.3421;0.2339;13.25;54
52;0.0521;0.0442;32.4675;0.1593;64.25;66
80;0.0538;0.0901;-53.8462;0.4944;38.25;154
101;0.0466;0.0441;-26.25;0.4472;39.5;159
113;0.0567;0.0317;-11.8812;0.057;86.25;154
72;0.0523;0.0507;36.2832;0.3016;20.25;82
242;0.0456;0.0242;-236.1111;0.3585;202.75;620
210;0.0445;0.0891;13.2231;0.9622;178.25;522
52;0.0408;0.0482;75.2381;0.178;20.25;82
62;0.0713;0.0651;-19.2308;0.1245;5.75;24
54;0.0413;0.0784;12.9032;0.2383;20;81
207;0.0445;0.0682;-283.3333;0.9172;259;653
78;0.0496;0.064;62.3188;0.1997;26.75;108
65;0.0442;0.0793;16.6667;0.2734;26.5;107
65;0.0888;0.0569;0;0.0834;5.25;22
116;0.0393;0.0357;-78.4615;0.181;81;133
58;0.0419;0.0538;50;0.1411;30;121
92;0.0488;0.0273;-58.6207;0.5442;40.5;163
132;0.0444;0.0309;-43.4783;0.0961;100.5;211
56;0.059;0.0636;57.5758;0.1698;8.75;36
87;0.0403;0.0604;-55.3571;0.2647;40.5;163
188;0.0483;0.0383;-116.092;0.2179;112.25;258
112;0.0539;0.0944;40.4255;0.5166;81.25;326
182;0.0428;0.0295;-62.5;0.4582;141.5;375
74;0.0642;0.0257;59.3407;0.2139;17.5;71
67;0.046;0.0274;9.4595;0.1402;24.5;99
73;0.0585;0.0654;-8.9552;0.3678;16.5;67
100;0.0432;0.0552;-36.9863;0.4792;91.25;174
129;0.0469;0.083;-29;0.4781;72.75;292
116;0.0418;0.0776;10.0775;0.2681;98.25;202
146;0.039;0.0302;-25.8621;0.4637;63.25;254
110;0.0382;0.055;24.6575;0.2702;127.5;319
363;0.0478;0.0611;-230;1.1054;277.75;728
122;0.047;0.0677;66.3912;0.2748;106.25;426
152;0.043;0.0491;-24.5902;0.3458;166;473
72;0.0421;0.036;52.6316;0.2658;90.25;170
109;0.0548;0.0874;-51.3889;0.3777;32.25;130
95;0.0466;0.0233;12.844;0.2706;53.5;215
107;0.0438;0.0183;-12.6316;0.6783;100.25;210
76;0.0392;0.0595;28.972;0.1787;32.75;132
83;0.0409;0.0513;-9.2105;0.3195;99.25;206
55;0.0947;0.0947;33.7349;0.1712;1.5;7
66;0.0436;0.0461;-20;0.1527;41.75;168
73;0.0511;0.1288;-10.6061;0.4621;30;121
70;0.049;0.0597;4.1096;0.1507;25.25;102
81;0.0408;0.044;-15.7143;0.5178;99;205
52;0.0385;0.0629;35.8025;0.2588;20.25;82
120;0.0418;0.0491;-130.7692;0.2143;43;173
198;0.0383;0.025;-65;0.6731;285.75;760
