Direction;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;MaxImpulse;Duration;Angle
SELL;1.09354;1.0719;216;0.1313;2.017;-109.7087;1.2334;0;555;23.35135
SELL;1.08186;1.05962;222;0.064;0.3289;-69.4656;0.4328;0.8344;8205;1.6234
SELL;1.0608;1.03399;268;0.0696;1.589;-267.1233;1.4817;0.2544;3405;4.72247
BUY;1.03399;1.04984;159;0.1286;0.8934;40.6716;0.3178;0.9004;3735;2.55422
SELL;1.05286;1.03492;179;0.0646;1.4244;-148.6111;1.2657;0.144;2700;3.97778
SELL;1.04202;1.02458;174;0.0807;1.073;-324.3902;0.9885;0.5076;3300;3.16364
BUY;1.02458;1.04356;190;0.0698;1.045;-9.1954;1.0962;0.2067;5565;2.04852
BUY;1.01868;1.03444;158;0.0755;0.5909;-15.3285;0.4651;0.4675;3150;3.00952
BUY;1.02683;1.04255;157;0.0876;1.1795;-185.4545;0.9868;0.1393;945;9.96825
SELL;1.04319;1.02149;217;0.1473;0.583;-239.0625;0.3848;0.653;3495;3.72532
SELL;1.05234;1.03635;160;0.0651;0.5514;-240.4255;0.4415;0.4374;2970;3.23232
BUY;1.03635;1.0839;475;0.0942;0.6563;-196.875;1.7437;0.2411;8415;3.38681
BUY;1.08152;1.11051;290;0.1702;2.0833;-308.4507;0.9391;0.4053;765;22.7451
BUY;1.08953;1.10734;178;0.1314;0.7267;-182.5397;0.2776;0.2781;975;10.95385
BUY;1.09344;1.1237;303;0.1427;1.1526;-588.6364;1.0804;0.257;1350;13.46667
BUY;1.11612;1.13451;184;0.2024;1.4871;-142.1053;0.3224;0.9139;495;22.30303
BUY;1.12604;1.14272;167;0.3499;1.9974;-96.4706;0.4413;0.3118;165;60.72727
BUY;1.13427;1.15678;225;0.0785;0.6041;-257.1429;1.2859;0.3362;5565;2.42588
SELL;1.15469;1.13172;230;0.1239;1.2174;-253.8462;0.8339;0.2865;1020;13.52941
SELL;1.13737;1.11998;174;0.0908;0.3281;-295.4545;0.6068;0.2466;2595;4.02312
SELL;1.12869;1.10934;193;0.0915;1.3756;-121.8391;1.2443;0.225;3945;2.93536
BUY;1.10676;1.1259;191;0.0765;0.7512;-229.3103;0.5834;0.2077;2355;4.86624
SELL;1.14172;1.12103;207;0.0633;0.7713;-89.9083;0.7875;0.2586;3945;3.14829
BUY;1.12103;1.13828;172;0.1057;0.5311;16.9082;0.5279;0.2979;1080;9.55556
BUY;1.13781;1.16277;250;0.0716;1.0622;-316.6667;0.8486;0.363;3210;4.6729
BUY;1.14563;1.16329;177;0.0862;0.5107;-210.5263;0.3976;0.5776;1740;6.10345
SELL;1.17461;1.15688;177;0.0535;0.509;-210.5263;0.8012;0.5811;9480;1.12025
SELL;1.17653;1.15315;234;0.0676;0.627;-310.5263;0.4212;0.3881;1845;7.60976
SELL;1.15697;1.14029;167;0.0817;0.8836;-234;0.6964;0.0917;1200;8.35
BUY;1.13959;1.15699;174;0.4222;1.5582;-176.1905;0.3811;0.8182;60;174
BUY;1.15326;1.16896;157;0.0587;0.3273;-149.2063;0.3163;0.3343;2655;3.54802
BUY;1.15836;1.17404;157;0.0788;1.2434;-78.4091;0.8435;0.1604;795;11.84906
BUY;1.15794;1.17352;156;0.0546;0.2713;-90.2439;0.3226;0.6681;7080;1.32203
BUY;1.17036;1.18761;172;0.0517;0.7488;-330;0.8512;0.2328;6030;1.71144
